"店铺","时间","商品ID","商品名称","失败原因"
"云米拼多多官方旗舰店","2026/5/7 13:38:51","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:38:54","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:38:57","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:00","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:04","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:07","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:10","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:13","480070620581","【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮","[映射异常] 该系统商品绑定了多个抓取条码 (S2405281401001  S2407170910001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:16","480070620581","【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮","[映射异常] 该系统商品绑定了多个抓取条码 (S2405281401001  S2407170910001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:39:53","220820325711","云米100L消毒柜家用超薄嵌入式大容量厨房独立消毒烘干ZTD100A-1","locator.click: Timeout 30000ms exceeded. Call log: [2m  - waiting for locator('button:has-text("确认结"
"云米拼多多官方旗舰店","2026/5/7 13:39:56","691819698413","云米电热水器50/60升洗澡家用浴室速热大容量省电防漏电警示安全","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614920  6923185614937)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:40:00","691819698413","云米电热水器50/60升洗澡家用浴室速热大容量省电防漏电警示安全","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614920  6923185614937)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:40:03","515237643272","云米电热水器AI美肤洗 780mm超薄 1级能效双胆三管速热 Super2Pro","page.waitForResponse: Target page  context or browser has been closed"
"云米拼多多官方旗舰店","2026/5/7 13:42:26","573873753845","云米前置过滤器Super智能自动冲洗全屋前置净水器家用自来水冲洗","平台红线拦截 - 建议优惠区间参考：59.90～579.00元"
"云米拼多多官方旗舰店","2026/5/7 13:42:29","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:32","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:34","291141614396","云米F3 1000G尼莫蓝/S2/Q5/X2系列净水器净饮机滤芯家用通用系列","[映射异常] 该系统商品绑定了多个抓取条码 (6923185600664  6923185619109  6923185614272)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:37","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:40","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:43","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:45","407741710364","云米25m³顶侧爆吸大吸力智目吸烟机 5.2KW聚能猛火灶烟灶套装家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2403040932001  S2403040933001  S2403040934001  S2403040935001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:48","480070620581","【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮","[映射异常] 该系统商品绑定了多个抓取条码 (S2405281401001  S2407170910001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:51","480070620581","【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮","[映射异常] 该系统商品绑定了多个抓取条码 (S2405281401001  S2407170910001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:42:57","691819698413","云米电热水器50/60升洗澡家用浴室速热大容量省电防漏电警示安全","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614920  6923185614937)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:00","691819698413","云米电热水器50/60升洗澡家用浴室速热大容量省电防漏电警示安全","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614920  6923185614937)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:17","515237643272","云米电热水器AI美肤洗 780mm超薄 1级能效双胆三管速热 Super2Pro","平台红线拦截 - 建议优惠区间参考：169.90～1274.15元"
"云米拼多多官方旗舰店","2026/5/7 13:43:33","739863611562","云米鲲鹏抽油烟机家用顶侧双吸26大吸力变频一级能效smart2 pro","平台红线拦截 - 建议优惠区间参考：149.90～1484.01元"
"云米拼多多官方旗舰店","2026/5/7 13:43:36","224216987554","云米净水器滤芯S2、Fast厨下1A400G600G 1号复合滤芯RO反渗透滤芯","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614265  6923185615750)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:39","224216987554","云米净水器滤芯S2、Fast厨下1A400G600G 1号复合滤芯RO反渗透滤芯","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614265  6923185615750)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:41","224216987554","云米净水器滤芯S2、Fast厨下1A400G600G 1号复合滤芯RO反渗透滤芯","[映射异常] 该系统商品绑定了多个抓取条码 (6923185614265  6923185615750)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:44","382839923175","云米顶侧双吸烟灶套装22m³大吸力抽油烟机聚能猛火灶节能燃气家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2405071349001  S2309261029001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:47","382839923175","云米顶侧双吸烟灶套装22m³大吸力抽油烟机聚能猛火灶节能燃气家用","[映射异常] 该系统商品绑定了多个抓取条码 (S2405071349001  S2309261029001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:50","761822913595","云米全自动智能马桶一体式脚踢感应翻盖抗菌座圈带水箱泡沫盾家用","[映射异常] 该系统商品绑定了多个抓取条码 (6923185654575  6923185654582)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:43:52","761822913595","云米全自动智能马桶一体式脚踢感应翻盖抗菌座圈带水箱泡沫盾家用","[映射异常] 该系统商品绑定了多个抓取条码 (6923185654575  6923185654582)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:07","763759392708","云米新品鲲鹏PRO油烟机28m³大吸力易清洁挥手智控烟灶联动小噪音","平台红线拦截 - 建议优惠区间参考：249.90～2474.01元"
"云米拼多多官方旗舰店","2026/5/7 13:44:27","661859626284","云米电热水器40升洗澡家用租房储水式速热抑菌节能省电安全卫生间","[映射异常] 该系统商品绑定了多个抓取条码 (6923185681281  6923185681304)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:30","661859626284","云米电热水器40升洗澡家用租房储水式速热抑菌节能省电安全卫生间","[映射异常] 该系统商品绑定了多个抓取条码 (6923185681281  6923185681304)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:45","205451808289","云米小厨宝6L即热式厨房台下洗碗热水宝上出水储水式小型电热水器","平台红线拦截 - 建议优惠区间参考：35.90～254.14元"
"云米拼多多官方旗舰店","2026/5/7 13:44:49","784230725200","云米鲲鹏PRO烟机28m³大吸力聚能猛火灶一级能效烟灶联动厨电套装","[映射异常] 该系统商品绑定了多个抓取条码 (S2505161744001  S2505171043001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:52","784230725200","云米鲲鹏PRO烟机28m³大吸力聚能猛火灶一级能效烟灶联动厨电套装","[映射异常] 该系统商品绑定了多个抓取条码 (S2505161744001  S2505171043001)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:55","237591380789","云米全自动智能马桶水箱泡沫盾抗菌即热恒温座圈离座冲水小鲸鱼2","[映射异常] 该系统商品绑定了多个抓取条码 (6923185654599  6923185654605)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:44:58","237591380789","云米全自动智能马桶水箱泡沫盾抗菌即热恒温座圈离座冲水小鲸鱼2","[映射异常] 该系统商品绑定了多个抓取条码 (6923185654599  6923185654605)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:46:26","852010588191","云米蓝调2PRO燃气热水器静音节能水伺服恒温语音控制智控节能变频","平台红线拦截 - 建议优惠区间参考：109.90～1088.01元"
"云米拼多多官方旗舰店","2026/5/7 13:47:16","908879495872","云米前置过滤器家用自来水前置净水器自动反冲洗全屋净水机大流量","平台红线拦截 - 建议优惠区间参考：49.80～379.00元"
"云米拼多多官方旗舰店","2026/5/7 13:47:20","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:23","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:26","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:28","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:31","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:34","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:36","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:39","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:42","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:45","873065157674","VIOMI云米 滤芯 反渗透滤芯RO膜","[映射异常] 该系统商品绑定了多个抓取条码 (6923185649502  6923185654872  6923185654544  6923185649519  6923185618379  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:48","243153009643","云米净饮机X2系列滤芯X2mini mango复合滤芯5in1/6in1 RO反渗透","[映射异常] 该系统商品绑定了多个抓取条码 (6923185623281  6923185627425  6923185620075)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:47:50","243153009643","云米净饮机X2系列滤芯X2mini mango复合滤芯5in1/6in1 RO反渗透","[映射异常] 该系统商品绑定了多个抓取条码 (6923185623281  6923185627425  6923185620075)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:47:53","243153009643","云米净饮机X2系列滤芯X2mini mango复合滤芯5in1/6in1 RO反渗透","[映射异常] 该系统商品绑定了多个抓取条码 (6923185623281  6923185627425  6923185620075)，存在乱价风险，停止调价。"
"云米拼多多官方旗舰店","2026/5/7 13:47:56","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:47:59","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:01","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:04","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:07","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:10","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:12","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:15","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:18","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:20","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:23","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:26","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:29","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:31","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:34","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
"云米拼多多官方旗舰店","2026/5/7 13:48:37","872941778883","VIOMI云米 复合滤芯五合一","[映射异常] 该系统商品绑定了多个抓取条码 (6923185627425  6923185653622  6923185653998  6923185655299  6923185657347  69"
